Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:28:55 | 53.4
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 12:28:43 | 57.3
2025-05-17 12:29:13 | 57.3
2025-05-17 12:29:43 | 58.4
2025-05-17 12:30:13 | 58.4
2025-05-17 12:30:43 | 58.9
2025-05-17 12:31:13 | 58.9
2025-05-17 12:31:43 | 58.9
2025-05-17 12:32:13 | 57.3
2025-05-17 12:32:43 | 57.8
2025-05-17 12:33:13 | 56.7
2025-05-17 12:33:43 | 56.7
2025-05-17 12:34:13 | 56.7
2025-05-17 12:34:43 | 57.3
2025-05-17 12:35:13 | 57.8
2025-05-17 12:35:43 | 58.4
2025-05-17 12:36:13 | 58.9
2025-05-17 12:36:43 | 58.9
2025-05-17 12:37:13 | 59.5
2025-05-17 12:37:43 | 58.9
2025-05-17 12:38:13 | 57.3
2025-05-17 12:38:43 | 57.8
2025-05-17 12:39:13 | 57.3
2025-05-17 12:39:43 | 57.3
2025-05-17 12:40:13 | 56.7
2025-05-17 12:40:43 | 56.7
2025-05-17 12:41:13 | 56.2
2025-05-17 12:41:43 | 56.7
2025-05-17 12:42:13 | 55.6
2025-05-17 12:42:43 | 55.1
2025-05-17 12:43:13 | 56.2
2025-05-17 12:43:43 | 58.4
2025-05-17 12:44:13 | 57.3
2025-05-17 12:44:43 | 58.4
2025-05-17 12:45:13 | 57.8
2025-05-17 12:45:43 | 58.4
2025-05-17 12:46:13 | 58.9
2025-05-17 12:46:43 | 58.9
2025-05-17 12:47:13 | 58.4
2025-05-17 12:47:43 | 57.8
2025-05-17 12:48:13 | 57.8
2025-05-17 12:48:43 | 57.8
2025-05-17 12:49:13 | 56.2
2025-05-17 12:49:43 | 56.7
2025-05-17 12:50:13 | 57.3
2025-05-17 12:50:43 | 58.9
2025-05-17 12:51:13 | 58.9
2025-05-17 12:51:43 | 56.7
2025-05-17 12:52:13 | 57.8
2025-05-17 12:52:43 | 60.0
2025-05-17 12:53:13 | 58.4
2025-05-17 12:53:43 | 56.7
2025-05-17 12:54:13 | 56.2
2025-05-17 12:54:43 | 58.4
2025-05-17 12:55:13 | 55.1
2025-05-17 12:55:43 | 56.7
2025-05-17 12:56:13 | 57.3
2025-05-17 12:56:43 | 58.4
2025-05-17 12:57:13 | 57.3
2025-05-17 12:57:43 | 57.3
2025-05-17 12:58:13 | 59.5
2025-05-17 12:58:43 | 58.9
2025-05-17 12:59:13 | 58.9
2025-05-17 12:59:43 | 55.6
2025-05-17 13:00:13 | 57.8
2025-05-17 13:00:43 | 56.7
2025-05-17 13:01:13 | 56.2
2025-05-17 13:01:43 | 56.7
2025-05-17 13:02:13 | 56.7
2025-05-17 13:02:43 | 57.3
2025-05-17 13:03:13 | 57.8
2025-05-17 13:03:43 | 58.4
2025-05-17 13:04:13 | 56.2
2025-05-17 13:04:43 | 60.6
2025-05-17 13:05:13 | 57.8
2025-05-17 13:05:43 | 56.7
2025-05-17 13:06:13 | 57.3
2025-05-17 13:06:43 | 56.7
2025-05-17 13:07:13 | 56.7
2025-05-17 13:07:43 | 56.7
2025-05-17 13:08:13 | 56.2
2025-05-17 13:08:43 | 57.3
2025-05-17 13:09:13 | 57.3
2025-05-17 13:09:43 | 58.9
2025-05-17 13:10:13 | 58.9
2025-05-17 13:10:43 | 58.9
2025-05-17 13:11:13 | 58.9
